Tweet ID,Text,User,Created At,Likes,Retweets,Sentiment,clean_text,label
449211727471646420,Feeling grateful for my friends and family.,werickson,2023-01-13 00:35:08,156,489,positive,feeling grateful friend family,2
519036665081652813,Going for a walk in the park.,jennybutler,2023-02-16 06:24:30,223,788,neutral,going walk park,1
776023316169815671,I hate it when things don't go my way.,william88,2023-01-24 18:12:37,332,860,negative,hate thing go way,0
674750468135750054,I hate it when things don't go my way.,lawrencebauer,2023-02-09 07:14:24,388,881,negative,hate thing go way,0
859726107390311299,This is the best day ever!,gerald07,2023-02-28 06:55:54,255,567,positive,best day ever,2
550892893360897328,Feeling grateful for my friends and family.,cardenastaylor,2023-02-22 18:44:04,66,665,positive,feeling grateful friend family,2
699924169697555678,Feeling grateful for my friends and family.,hmoore,2023-04-05 19:12:52,426,973,positive,feeling grateful friend family,2
588788854848195864,Feeling disappointed in myself.,nvillanueva,2023-04-27 03:14:54,936,434,negative,feeling disappointed,0
662452098664103309,Just had lunch with a friend.,saracooper,2023-02-25 01:05:38,362,332,neutral,lunch friend,1
684099235850150906,Feeling grateful for my friends and family.,alexander53,2023-02-02 19:19:53,424,163,positive,feeling grateful friend family,2
776765154260248110,I'm so upset right now.,honicholas,2023-02-17 17:02:25,897,455,negative,upset right,0
358643348910237407,I love my life!,ywhite,2023-03-05 15:40:48,634,396,positive,love life,2
117185747854291890,I'm so upset right now.,mark56,2023-02-13 16:20:18,381,348,negative,upset right,0
438247606942835271,This is the best day ever!,nhale,2023-01-31 23:08:52,908,729,positive,best day ever,2
901927716357804393,Going for a walk in the park.,rickysmith,2023-03-19 03:42:02,243,397,neutral,going walk park,1
299674329971381313,I'm so upset right now.,qcarrillo,2023-04-03 14:02:20,864,580,negative,upset right,0
445909472130320485,This is the best day ever!,srasmussen,2023-02-06 13:15:46,534,448,positive,best day ever,2
641460688824236393,I'm so upset right now.,schroederdonald,2023-02-01 17:15:47,426,535,negative,upset right,0
735195476422297653,Feeling disappointed in myself.,ferrelljoseph,2023-03-14 22:28:44,847,386,negative,feeling disappointed,0
663322488762426526,I'm so upset right now.,acortez,2023-01-14 04:03:43,445,467,negative,upset right,0
441066682092594552,Feeling disappointed in myself.,ohorton,2023-01-15 15:03:40,846,606,negative,feeling disappointed,0
768253902703230346,Just had lunch with a friend.,william02,2023-04-10 04:18:10,155,622,neutral,lunch friend,1
941562807602482757,I'm so upset right now.,thomasrodriguez,2023-01-08 21:44:22,355,564,negative,upset right,0
342589526754894351,Feeling disappointed in myself.,bryanclark,2023-03-01 07:38:17,399,900,negative,feeling disappointed,0
526043740201558546,Feeling grateful for my friends and family.,grantamy,2023-03-31 15:49:29,164,817,positive,feeling grateful friend family,2
689544404035305652,Feeling disappointed in myself.,christopherjohnson,2023-01-27 15:50:43,126,713,negative,feeling disappointed,0
460029211104675837,I'm so upset right now.,clinecorey,2023-04-27 05:33:21,424,345,negative,upset right,0
420780432982244874,Feeling grateful for my friends and family.,bishopstacy,2023-04-15 02:15:31,736,981,positive,feeling grateful friend family,2
418629515447451105,I hate it when things don't go my way.,robertjohnson,2023-04-03 02:10:42,265,480,negative,hate thing go way,0
888360491501223330,Going for a walk in the park.,cartermegan,2023-02-28 03:22:38,827,824,neutral,going walk park,1
765060963165933837,Watching a movie tonight.,brucevasquez,2023-02-04 18:52:08,380,676,neutral,watching movie tonight,1
310832653837715605,I'm so upset right now.,christineponce,2023-02-16 12:18:21,781,438,negative,upset right,0
344893730878964794,Feeling grateful for my friends and family.,lindseywilkins,2023-04-26 02:44:29,306,783,positive,feeling grateful friend family,2
538001904280121421,Going for a walk in the park.,gabriellepoole,2023-02-20 01:16:17,431,891,neutral,going walk park,1
837210186062502456,Feeling grateful for my friends and family.,alexis31,2023-01-16 11:42:52,733,101,positive,feeling grateful friend family,2
342598024999502395,I'm so upset right now.,smithallen,2023-04-03 14:17:14,551,253,negative,upset right,0
730452581934875347,Feeling grateful for my friends and family.,jareddelgado,2023-01-11 05:52:47,110,23,positive,feeling grateful friend family,2
837271956451995821,This is the best day ever!,richardrichards,2023-03-18 09:16:24,998,40,positive,best day ever,2
510298709186823721,Watching a movie tonight.,diana08,2023-01-01 06:00:27,599,381,neutral,watching movie tonight,1
402437031786647283,I hate it when things don't go my way.,wpittman,2023-03-22 01:10:14,837,233,negative,hate thing go way,0
255071824694535805,I love my life!,rachelthompson,2023-03-27 12:24:44,882,894,positive,love life,2
681344387076627489,I love my life!,martintiffany,2023-04-22 22:47:17,28,247,positive,love life,2
246928935465042271,Watching a movie tonight.,ashleylewis,2023-04-26 04:11:52,486,43,neutral,watching movie tonight,1
456647252136744496,I hate it when things don't go my way.,ryanwells,2023-01-25 14:48:11,231,207,negative,hate thing go way,0
342320275426315207,I'm so upset right now.,fgonzalez,2023-02-23 16:35:44,164,522,negative,upset right,0
594135232004769024,Just had lunch with a friend.,tonysherman,2023-01-27 04:28:39,385,682,neutral,lunch friend,1
932187530302064484,Feeling disappointed in myself.,james38,2023-04-19 23:38:12,988,151,negative,feeling disappointed,0
259185709836196079,I'm so upset right now.,paul02,2023-01-09 08:03:17,735,877,negative,upset right,0
999792445613138811,I hate it when things don't go my way.,lindsaybenitez,2023-03-31 11:20:25,485,989,negative,hate thing go way,0
495535683432996678,Feeling disappointed in myself.,vgonzalez,2023-03-25 12:52:09,487,336,negative,feeling disappointed,0
875324188495529294,Feeling disappointed in myself.,mcmillanrebecca,2023-02-03 03:11:19,887,27,negative,feeling disappointed,0
598037187532963035,I love my life!,dhansen,2023-01-21 15:58:45,614,241,positive,love life,2
166436283039240862,Feeling grateful for my friends and family.,thompsonmichelle,2023-01-10 23:27:55,631,669,positive,feeling grateful friend family,2
380330871181774192,Going for a walk in the park.,noneal,2023-04-15 21:26:53,845,659,neutral,going walk park,1
802310371224177810,Watching a movie tonight.,michael57,2023-02-02 07:01:11,738,522,neutral,watching movie tonight,1
646814964069601869,Watching a movie tonight.,morrisondaniel,2023-03-14 04:14:09,339,308,neutral,watching movie tonight,1
118683292260619975,Feeling disappointed in myself.,sherry99,2023-01-02 08:44:42,128,810,negative,feeling disappointed,0
